rider_id,city,shift_type,joining_date
53,Pune,DAY,2025-01-31
54,Rajkot,DAY,2024-05-14
55,Pune,DAY,2025-01-05
56,Surat,NIGHT,2024-04-03
57,Surat,DAY,2026-01-24
58,Ahmedabad,DAY,2025-11-12
59,Surat,FLEX,2024-11-26
60,Gandhinagar,NIGHT,2024-07-15
61,Surat,NIGHT,2024-06-27
62,Ahmedabad,DAY,2024-09-01
63,Ahmedabad,NIGHT,2024-02-14
64,Pune,FLEX,2025-06-24
65,Surat,NIGHT,2025-06-06
66,Pune,NIGHT,2024-06-13
67,Rajkot,FLEX,2024-12-21
68,Pune,NIGHT,2025-05-28
69,Gandhinagar,FLEX,2025-04-07
70,Pune,DAY,2025-12-24
71,Ahmedabad,FLEX,2025-07-23
72,Pune,DAY,2025-10-11
73,Ahmedabad,NIGHT,2025-01-16
74,Ahmedabad,NIGHT,2024-09-07
75,Pune,NIGHT,2026-01-12
76,Surat,FLEX,2025-02-11
77,Surat,NIGHT,2026-02-24
78,Rajkot,NIGHT,2024-11-13
79,Ahmedabad,NIGHT,2025-05-15
80,Surat,FLEX,2024-09-11
81,Ahmedabad,DAY,2025-08-03
82,Ahmedabad,NIGHT,2025-06-10
83,Ahmedabad,NIGHT,2026-02-15
84,Ahmedabad,FLEX,2024-05-01
85,Ahmedabad,DAY,2025-09-28
86,Surat,DAY,2024-06-17
87,Surat,FLEX,2025-02-06
88,Rajkot,DAY,2024-05-07
89,Ahmedabad,DAY,2024-05-27
90,Pune,DAY,2024-11-29
91,Ahmedabad,NIGHT,2025-06-23
92,Ahmedabad,NIGHT,2025-08-12
93,Ahmedabad,NIGHT,2025-04-05
94,Ahmedabad,NIGHT,2024-02-05
95,Ahmedabad,DAY,2025-12-23
96,Surat,DAY,2024-02-08
97,Pune,FLEX,2025-03-23
98,Rajkot,DAY,2026-01-05
99,Pune,DAY,2025-07-06
100,Pune,DAY,2024-06-18
101,Ahmedabad,FLEX,2025-11-07
102,Surat,DAY,2025-11-19
103,Gandhinagar,NIGHT,2024-11-25
104,Surat,FLEX,2025-09-26
105,Rajkot,DAY,2024-02-10
106,Rajkot,FLEX,2025-05-02
107,Gandhinagar,FLEX,2026-02-18
108,Ahmedabad,NIGHT,2024-04-22
109,Pune,DAY,2024-03-14
110,Pune,DAY,2024-07-18
111,Gandhinagar,FLEX,2024-04-02
112,Rajkot,FLEX,2024-07-10
113,Gandhinagar,FLEX,2026-02-02
114,Gandhinagar,DAY,2025-01-02
115,Gandhinagar,DAY,2024-10-14
116,Ahmedabad,DAY,2025-01-10
117,Gandhinagar,FLEX,2024-12-28
118,Pune,NIGHT,2024-12-01
119,Surat,FLEX,2025-09-17
120,Surat,FLEX,2025-06-13
121,Ahmedabad,NIGHT,2024-11-06
122,Surat,NIGHT,2024-02-27
123,Pune,DAY,2025-04-20
124,Ahmedabad,DAY,2025-06-04
125,Ahmedabad,FLEX,2024-02-07
126,Ahmedabad,NIGHT,2024-06-30
127,Ahmedabad,NIGHT,2026-02-15
128,Ahmedabad,DAY,2025-09-11
129,Gandhinagar,NIGHT,2025-03-18
130,Surat,FLEX,2025-06-03
131,Surat,DAY,2025-06-07
132,Pune,DAY,2024-10-03
133,Ahmedabad,NIGHT,2025-07-12
134,Pune,FLEX,2024-08-25
135,Ahmedabad,NIGHT,2024-11-14
136,Rajkot,NIGHT,2026-02-27
137,Ahmedabad,FLEX,2025-08-02
138,Gandhinagar,FLEX,2025-07-10
139,Gandhinagar,NIGHT,2024-07-29
140,Surat,NIGHT,2024-08-27
141,Surat,NIGHT,2025-01-05
142,Ahmedabad,NIGHT,2025-03-21
143,Gandhinagar,DAY,2025-05-07
144,Pune,NIGHT,2025-11-13
145,Surat,FLEX,2025-11-14
146,Pune,DAY,2025-09-08
147,Ahmedabad,NIGHT,2024-02-19
148,Surat,FLEX,2024-03-05
149,Gandhinagar,DAY,2024-07-13
150,Gandhinagar,DAY,2025-08-30
151,Pune,NIGHT,2025-03-12
152,Surat,DAY,2026-03-02
153,Rajkot,DAY,2025-06-09
154,Gandhinagar,FLEX,2024-08-27
155,Ahmedabad,DAY,2025-11-07
156,Surat,NIGHT,2026-03-04
157,Ahmedabad,NIGHT,2024-11-21
158,Pune,DAY,2025-04-02
159,Ahmedabad,DAY,2025-07-01
160,Ahmedabad,NIGHT,2026-01-09
161,Surat,FLEX,2025-12-31
162,Rajkot,DAY,2024-04-13
163,Surat,NIGHT,2025-10-15
164,Pune,DAY,2025-12-19
165,Ahmedabad,FLEX,2024-08-22
166,Surat,DAY,2024-07-14
167,Ahmedabad,NIGHT,2024-09-27
168,Gandhinagar,FLEX,2024-12-18
169,Gandhinagar,FLEX,2025-01-01
170,Rajkot,FLEX,2024-06-19
171,Rajkot,DAY,2024-02-18
172,Pune,NIGHT,2024-06-14
173,Rajkot,DAY,2024-05-09
174,Pune,FLEX,2025-07-14
175,Pune,DAY,2025-12-30
176,Ahmedabad,FLEX,2025-01-22
177,Ahmedabad,NIGHT,2024-07-16
178,Pune,NIGHT,2026-02-11
179,Gandhinagar,FLEX,2024-03-23
180,Rajkot,FLEX,2024-12-07
181,Gandhinagar,FLEX,2025-07-20
182,Pune,NIGHT,2024-07-21
183,Surat,DAY,2025-11-19
184,Pune,NIGHT,2024-05-22
185,Rajkot,DAY,2025-10-22
186,Gandhinagar,FLEX,2025-09-28
187,Surat,NIGHT,2024-02-09
188,Rajkot,NIGHT,2024-12-22
189,Gandhinagar,FLEX,2024-04-10
190,Gandhinagar,FLEX,2025-01-28
191,Ahmedabad,NIGHT,2024-09-10
192,Surat,DAY,2025-12-24
193,Gandhinagar,FLEX,2024-12-29
194,Rajkot,DAY,2025-07-03
195,Surat,FLEX,2025-07-25
196,Gandhinagar,FLEX,2026-02-23
197,Pune,NIGHT,2026-02-03
198,Ahmedabad,NIGHT,2024-10-01
199,Surat,NIGHT,2025-09-12
200,Ahmedabad,DAY,2024-06-04
