ticket_id,order_id,ticket_type,created_ts,resolution_status
34,266,PAYMENT_ISSUE,2026-01-25 00:32:00,OPEN
35,275,MISSING_ITEM,2026-01-24 21:00:00,OPEN
36,311,WRONG_ORDER,2026-01-24 15:12:00,RESOLVED
37,314,DELAY,2026-01-24 16:15:00,OPEN
38,322,PAYMENT_ISSUE,2026-01-24 17:02:00,RESOLVED
39,326,DELAY,2026-01-24 16:31:00,OPEN
40,353,MISSING_ITEM,2026-01-25 21:09:00,OPEN
41,356,WRONG_ORDER,2026-01-25 19:07:00,OPEN
42,366,WRONG_ORDER,2026-01-25 20:53:00,OPEN
43,376,PAYMENT_ISSUE,2026-01-25 22:38:00,RESOLVED
44,384,MISSING_ITEM,2026-01-25 10:41:00,OPEN
45,397,MISSING_ITEM,2026-01-26 00:49:00,RESOLVED
46,403,MISSING_ITEM,2026-01-25 23:08:00,RESOLVED
47,432,PAYMENT_ISSUE,2026-01-25 22:57:00,OPEN
48,433,WRONG_ORDER,2026-01-25 15:02:00,RESOLVED
49,453,MISSING_ITEM,2026-01-25 17:43:00,OPEN
50,475,MISSING_ITEM,2026-01-25 15:35:00,OPEN
51,503,MISSING_ITEM,2026-01-26 17:54:00,OPEN
52,504,WRONG_ORDER,2026-01-26 11:15:00,RESOLVED
53,508,PAYMENT_ISSUE,2026-01-26 09:41:00,OPEN
54,511,DELAY,2026-01-26 16:53:00,RESOLVED
55,513,DELAY,2026-01-26 21:44:00,RESOLVED
56,538,PAYMENT_ISSUE,2026-01-26 15:26:00,OPEN
57,541,WRONG_ORDER,2026-01-26 17:20:00,OPEN
58,542,WRONG_ORDER,2026-01-26 21:56:00,RESOLVED
59,548,WRONG_ORDER,2026-01-26 16:51:00,OPEN
60,560,DELAY,2026-01-26 20:18:00,OPEN
61,581,WRONG_ORDER,2026-01-26 15:27:00,OPEN
62,607,PAYMENT_ISSUE,2026-01-26 22:47:00,RESOLVED
63,622,WRONG_ORDER,2026-01-26 17:39:00,OPEN
64,641,PAYMENT_ISSUE,2026-01-27 10:47:00,OPEN
65,652,DELAY,2026-01-27 18:04:00,RESOLVED
66,669,MISSING_ITEM,2026-01-27 17:20:00,OPEN
67,673,DELAY,2026-01-27 12:55:00,OPEN
68,676,DELAY,2026-01-27 15:51:00,OPEN
69,697,WRONG_ORDER,2026-01-27 20:02:00,OPEN
70,708,PAYMENT_ISSUE,2026-01-27 22:57:00,OPEN
71,709,DELAY,2026-01-28 00:59:00,OPEN
72,722,DELAY,2026-01-27 23:36:00,OPEN
73,724,MISSING_ITEM,2026-01-27 14:38:00,RESOLVED
74,742,PAYMENT_ISSUE,2026-01-27 20:46:00,OPEN
75,743,DELAY,2026-01-27 10:47:00,OPEN
76,753,WRONG_ORDER,2026-01-27 16:21:00,RESOLVED
77,760,WRONG_ORDER,2026-01-27 17:40:00,OPEN
78,786,MISSING_ITEM,2026-01-27 11:45:00,RESOLVED
79,789,DELAY,2026-01-27 23:21:00,RESOLVED
80,794,MISSING_ITEM,2026-01-27 19:33:00,RESOLVED
81,811,DELAY,2026-01-28 17:12:00,RESOLVED
82,821,WRONG_ORDER,2026-01-29 02:01:00,OPEN
83,823,PAYMENT_ISSUE,2026-01-28 21:41:00,OPEN
84,827,WRONG_ORDER,2026-01-28 21:54:00,RESOLVED
85,828,WRONG_ORDER,2026-01-28 09:42:00,OPEN
86,833,DELAY,2026-01-28 15:55:00,RESOLVED
87,846,DELAY,2026-01-28 19:41:00,OPEN
88,847,MISSING_ITEM,2026-01-28 22:40:00,RESOLVED
89,875,WRONG_ORDER,2026-01-28 19:12:00,RESOLVED
90,880,PAYMENT_ISSUE,2026-01-28 22:18:00,RESOLVED
91,883,MISSING_ITEM,2026-01-28 12:43:00,OPEN
92,890,MISSING_ITEM,2026-01-28 21:47:00,RESOLVED
93,892,WRONG_ORDER,2026-01-28 19:07:00,OPEN
94,904,DELAY,2026-01-28 20:15:00,RESOLVED
95,923,PAYMENT_ISSUE,2026-01-28 17:04:00,OPEN
96,927,MISSING_ITEM,2026-01-28 10:07:00,OPEN
97,930,MISSING_ITEM,2026-01-28 11:18:00,OPEN
98,965,WRONG_ORDER,2026-01-28 22:05:00,OPEN
99,968,PAYMENT_ISSUE,2026-01-28 11:51:00,RESOLVED
100,969,DELAY,2026-01-28 16:06:00,RESOLVED
101,982,WRONG_ORDER,2026-01-28 15:03:00,RESOLVED
102,997,PAYMENT_ISSUE,2026-01-29 14:07:00,OPEN
103,1003,MISSING_ITEM,2026-01-29 13:03:00,OPEN
104,1009,PAYMENT_ISSUE,2026-01-29 12:28:00,OPEN
105,1026,DELAY,2026-01-29 11:27:00,OPEN
106,1036,MISSING_ITEM,2026-01-29 16:46:00,OPEN
107,1057,WRONG_ORDER,2026-01-29 23:02:00,RESOLVED
108,1061,WRONG_ORDER,2026-01-29 21:24:00,OPEN
109,1069,PAYMENT_ISSUE,2026-01-29 13:53:00,OPEN
110,1073,WRONG_ORDER,2026-01-29 10:13:00,RESOLVED
111,1081,DELAY,2026-01-29 21:55:00,OPEN
112,1093,DELAY,2026-01-29 17:22:00,RESOLVED
113,1096,MISSING_ITEM,2026-01-29 12:03:00,OPEN
114,1105,DELAY,2026-01-29 22:23:00,OPEN
115,1108,WRONG_ORDER,2026-01-29 17:08:00,RESOLVED
116,1114,WRONG_ORDER,2026-01-29 11:32:00,RESOLVED
117,1123,DELAY,2026-01-29 19:29:00,RESOLVED
118,1130,MISSING_ITEM,2026-01-29 22:54:00,OPEN
119,1148,MISSING_ITEM,2026-01-30 11:17:00,OPEN
120,1150,WRONG_ORDER,2026-01-31 01:23:00,OPEN
121,1162,PAYMENT_ISSUE,2026-01-30 23:40:00,OPEN
122,1166,PAYMENT_ISSUE,2026-01-30 22:28:00,RESOLVED
123,1172,PAYMENT_ISSUE,2026-01-30 17:05:00,OPEN
124,1197,WRONG_ORDER,2026-01-30 21:30:00,OPEN
125,1218,PAYMENT_ISSUE,2026-01-30 22:50:00,OPEN
126,1221,DELAY,2026-01-30 16:13:00,OPEN
127,1241,WRONG_ORDER,2026-01-30 17:46:00,RESOLVED
128,1244,MISSING_ITEM,2026-01-30 19:02:00,RESOLVED
129,1250,DELAY,2026-01-30 15:53:00,RESOLVED
130,1257,WRONG_ORDER,2026-01-30 23:34:00,OPEN
131,1262,MISSING_ITEM,2026-01-30 09:10:00,OPEN
132,1279,PAYMENT_ISSUE,2026-01-30 17:17:00,RESOLVED
133,1291,PAYMENT_ISSUE,2026-01-30 10:42:00,RESOLVED
134,1294,PAYMENT_ISSUE,2026-01-31 01:18:00,OPEN
135,1306,PAYMENT_ISSUE,2026-01-30 20:37:00,OPEN
136,1311,WRONG_ORDER,2026-01-30 12:32:00,OPEN
137,1316,WRONG_ORDER,2026-01-30 16:49:00,OPEN
138,1332,DELAY,2026-01-31 00:22:00,OPEN
139,1337,WRONG_ORDER,2026-01-31 22:55:00,RESOLVED
140,1346,DELAY,2026-01-31 14:16:00,RESOLVED
141,1347,PAYMENT_ISSUE,2026-01-31 18:05:00,RESOLVED
142,1392,WRONG_ORDER,2026-01-31 16:46:00,OPEN
143,1403,MISSING_ITEM,2026-01-31 13:27:00,RESOLVED
144,1404,WRONG_ORDER,2026-01-31 15:19:00,OPEN
145,1407,MISSING_ITEM,2026-01-31 11:33:00,OPEN
146,1415,MISSING_ITEM,2026-01-31 13:21:00,RESOLVED
147,1428,DELAY,2026-01-31 22:51:00,OPEN
148,1451,DELAY,2026-02-01 00:32:00,RESOLVED
149,1455,MISSING_ITEM,2026-01-31 10:59:00,OPEN
150,1460,WRONG_ORDER,2026-01-31 19:14:00,RESOLVED
151,1461,PAYMENT_ISSUE,2026-01-31 14:33:00,OPEN
152,1503,PAYMENT_ISSUE,2026-01-31 10:04:00,OPEN
153,1508,DELAY,2026-01-31 21:38:00,RESOLVED
154,1510,DELAY,2026-02-01 00:48:00,RESOLVED
155,1512,DELAY,2026-01-31 17:25:00,OPEN
156,1534,WRONG_ORDER,2026-01-31 19:38:00,OPEN
157,1549,DELAY,2026-02-01 10:05:00,RESOLVED
158,1555,MISSING_ITEM,2026-02-01 10:32:00,RESOLVED
159,1578,PAYMENT_ISSUE,2026-02-01 14:31:00,OPEN
160,1589,PAYMENT_ISSUE,2026-02-01 20:26:00,RESOLVED
161,1593,WRONG_ORDER,2026-02-01 18:28:00,RESOLVED
162,1596,DELAY,2026-02-01 12:02:00,RESOLVED
163,1605,DELAY,2026-02-01 20:44:00,OPEN
164,1625,MISSING_ITEM,2026-02-01 10:52:00,RESOLVED
165,1650,DELAY,2026-02-01 12:53:00,RESOLVED
166,1656,PAYMENT_ISSUE,2026-02-01 12:04:00,OPEN
167,1657,PAYMENT_ISSUE,2026-02-01 19:27:00,OPEN
168,1658,PAYMENT_ISSUE,2026-02-01 22:17:00,RESOLVED
169,1659,WRONG_ORDER,2026-02-01 23:41:00,RESOLVED
170,1672,PAYMENT_ISSUE,2026-02-01 11:54:00,RESOLVED
171,1680,PAYMENT_ISSUE,2026-02-01 18:14:00,OPEN
172,1681,MISSING_ITEM,2026-02-01 17:05:00,RESOLVED
173,1687,DELAY,2026-02-01 19:17:00,RESOLVED
174,1692,WRONG_ORDER,2026-02-01 18:04:00,RESOLVED
175,1695,MISSING_ITEM,2026-02-01 23:10:00,OPEN
176,1707,DELAY,2026-02-01 13:51:00,RESOLVED
177,1715,PAYMENT_ISSUE,2026-02-02 12:57:00,OPEN
178,1725,MISSING_ITEM,2026-02-02 12:55:00,OPEN
179,1731,PAYMENT_ISSUE,2026-02-02 13:27:00,OPEN
180,1734,PAYMENT_ISSUE,2026-02-02 17:25:00,OPEN
181,1736,DELAY,2026-02-03 00:31:00,OPEN
182,1738,PAYMENT_ISSUE,2026-02-02 19:56:00,RESOLVED
183,1760,WRONG_ORDER,2026-02-02 21:03:00,OPEN
184,1803,PAYMENT_ISSUE,2026-02-02 22:28:00,OPEN
185,1808,DELAY,2026-02-02 21:37:00,RESOLVED
186,1813,PAYMENT_ISSUE,2026-02-03 00:37:00,OPEN
187,1816,MISSING_ITEM,2026-02-02 09:59:00,RESOLVED
188,1823,WRONG_ORDER,2026-02-02 14:16:00,OPEN
189,1825,WRONG_ORDER,2026-02-02 21:36:00,OPEN
190,1830,PAYMENT_ISSUE,2026-02-02 12:37:00,OPEN
191,1831,DELAY,2026-02-02 22:05:00,RESOLVED
192,1847,MISSING_ITEM,2026-02-02 14:01:00,OPEN
193,1854,MISSING_ITEM,2026-02-02 16:29:00,OPEN
194,1871,WRONG_ORDER,2026-02-02 17:20:00,RESOLVED
195,1905,WRONG_ORDER,2026-02-02 18:09:00,RESOLVED
196,1925,WRONG_ORDER,2026-02-03 10:23:00,RESOLVED
197,1939,WRONG_ORDER,2026-02-03 17:37:00,RESOLVED
198,1947,DELAY,2026-02-03 20:07:00,OPEN
199,1963,WRONG_ORDER,2026-02-03 10:54:00,OPEN
200,1969,WRONG_ORDER,2026-02-04 01:16:00,RESOLVED
201,1983,PAYMENT_ISSUE,2026-02-03 18:34:00,RESOLVED
202,1987,MISSING_ITEM,2026-02-04 00:04:00,RESOLVED
203,1992,WRONG_ORDER,2026-02-03 15:04:00,RESOLVED
204,2002,DELAY,2026-02-03 10:31:00,RESOLVED
205,2006,DELAY,2026-02-03 20:58:00,OPEN
206,2010,DELAY,2026-02-03 16:20:00,OPEN
207,2018,DELAY,2026-02-03 21:29:00,RESOLVED
208,2026,MISSING_ITEM,2026-02-03 14:34:00,RESOLVED
209,2033,WRONG_ORDER,2026-02-03 11:56:00,RESOLVED
210,2041,PAYMENT_ISSUE,2026-02-03 21:49:00,OPEN
211,2057,DELAY,2026-02-03 23:33:00,OPEN
212,2070,MISSING_ITEM,2026-02-03 10:32:00,RESOLVED
213,2076,PAYMENT_ISSUE,2026-02-03 13:02:00,RESOLVED
214,2077,PAYMENT_ISSUE,2026-02-03 13:50:00,RESOLVED
215,2097,WRONG_ORDER,2026-02-05 00:59:00,RESOLVED
216,2103,MISSING_ITEM,2026-02-05 01:17:00,OPEN
217,2110,MISSING_ITEM,2026-02-04 20:51:00,RESOLVED
218,2124,DELAY,2026-02-04 10:08:00,RESOLVED
219,2129,WRONG_ORDER,2026-02-04 11:43:00,OPEN
220,2132,WRONG_ORDER,2026-02-04 21:17:00,OPEN
221,2144,WRONG_ORDER,2026-02-04 16:35:00,RESOLVED
222,2146,PAYMENT_ISSUE,2026-02-04 17:03:00,OPEN
223,2151,WRONG_ORDER,2026-02-04 19:40:00,RESOLVED
224,2152,PAYMENT_ISSUE,2026-02-04 15:01:00,OPEN
225,2160,MISSING_ITEM,2026-02-05 00:36:00,RESOLVED
226,2182,WRONG_ORDER,2026-02-04 23:40:00,RESOLVED
227,2189,WRONG_ORDER,2026-02-04 17:25:00,RESOLVED
228,2190,PAYMENT_ISSUE,2026-02-04 16:24:00,RESOLVED
229,2191,MISSING_ITEM,2026-02-04 10:06:00,RESOLVED
230,2192,MISSING_ITEM,2026-02-04 12:24:00,RESOLVED
231,2200,MISSING_ITEM,2026-02-04 22:42:00,OPEN
232,2202,DELAY,2026-02-04 12:19:00,RESOLVED
233,2204,PAYMENT_ISSUE,2026-02-04 12:06:00,OPEN
234,2219,MISSING_ITEM,2026-02-04 18:01:00,OPEN
235,2239,WRONG_ORDER,2026-02-04 12:31:00,RESOLVED
236,2246,PAYMENT_ISSUE,2026-02-04 17:46:00,OPEN
237,2265,MISSING_ITEM,2026-02-05 13:48:00,RESOLVED
238,2266,DELAY,2026-02-05 20:46:00,OPEN
239,2274,MISSING_ITEM,2026-02-05 11:14:00,RESOLVED
240,2306,WRONG_ORDER,2026-02-05 12:29:00,RESOLVED
241,2311,WRONG_ORDER,2026-02-06 00:16:00,RESOLVED
242,2318,MISSING_ITEM,2026-02-05 15:35:00,RESOLVED
243,2322,PAYMENT_ISSUE,2026-02-05 18:07:00,RESOLVED
244,2333,WRONG_ORDER,2026-02-05 16:43:00,RESOLVED
245,2336,PAYMENT_ISSUE,2026-02-05 13:24:00,RESOLVED
246,2340,PAYMENT_ISSUE,2026-02-05 15:54:00,RESOLVED
247,2345,MISSING_ITEM,2026-02-05 20:33:00,RESOLVED
248,2352,PAYMENT_ISSUE,2026-02-05 11:12:00,RESOLVED
249,2353,PAYMENT_ISSUE,2026-02-05 20:43:00,RESOLVED
250,2358,WRONG_ORDER,2026-02-05 10:58:00,RESOLVED
251,2370,PAYMENT_ISSUE,2026-02-05 13:53:00,OPEN
252,2373,DELAY,2026-02-05 16:50:00,RESOLVED
253,2379,PAYMENT_ISSUE,2026-02-05 16:09:00,OPEN
254,2385,MISSING_ITEM,2026-02-05 18:19:00,RESOLVED
255,2392,PAYMENT_ISSUE,2026-02-05 09:58:00,RESOLVED
256,2399,PAYMENT_ISSUE,2026-02-05 19:42:00,OPEN
257,2403,PAYMENT_ISSUE,2026-02-05 23:28:00,RESOLVED
258,2419,PAYMENT_ISSUE,2026-02-05 12:47:00,RESOLVED
259,2426,WRONG_ORDER,2026-02-05 21:02:00,OPEN
260,2427,WRONG_ORDER,2026-02-05 18:00:00,OPEN
261,2439,MISSING_ITEM,2026-02-05 22:47:00,OPEN
262,2451,MISSING_ITEM,2026-02-05 18:51:00,RESOLVED
263,2461,PAYMENT_ISSUE,2026-02-05 16:30:00,OPEN
264,2480,DELAY,2026-02-06 16:34:00,OPEN
265,2484,WRONG_ORDER,2026-02-06 16:23:00,OPEN
266,2502,WRONG_ORDER,2026-02-07 00:12:00,OPEN
267,2521,MISSING_ITEM,2026-02-07 00:36:00,OPEN
268,2533,WRONG_ORDER,2026-02-06 22:34:00,RESOLVED
269,2546,DELAY,2026-02-06 16:29:00,OPEN
270,2552,MISSING_ITEM,2026-02-06 16:32:00,RESOLVED
271,2560,MISSING_ITEM,2026-02-06 15:50:00,OPEN
272,2562,MISSING_ITEM,2026-02-06 21:21:00,RESOLVED
273,2572,MISSING_ITEM,2026-02-07 00:50:00,OPEN
274,2577,MISSING_ITEM,2026-02-06 14:30:00,RESOLVED
275,2607,WRONG_ORDER,2026-02-06 20:24:00,RESOLVED
276,2609,DELAY,2026-02-06 16:31:00,RESOLVED
277,2637,MISSING_ITEM,2026-02-06 21:47:00,OPEN
278,2639,DELAY,2026-02-06 14:38:00,RESOLVED
279,2643,DELAY,2026-02-06 19:56:00,RESOLVED
280,2649,DELAY,2026-02-06 16:00:00,OPEN
281,2656,MISSING_ITEM,2026-02-06 13:32:00,OPEN
282,2661,MISSING_ITEM,2026-02-06 15:15:00,RESOLVED
283,2672,DELAY,2026-02-06 19:39:00,OPEN
284,2688,WRONG_ORDER,2026-02-07 19:29:00,RESOLVED
285,2699,MISSING_ITEM,2026-02-07 15:20:00,OPEN
286,2706,MISSING_ITEM,2026-02-07 22:06:00,OPEN
287,2709,WRONG_ORDER,2026-02-07 16:56:00,RESOLVED
288,2716,PAYMENT_ISSUE,2026-02-07 16:16:00,RESOLVED
289,2725,WRONG_ORDER,2026-02-07 13:25:00,RESOLVED
290,2738,MISSING_ITEM,2026-02-07 12:31:00,RESOLVED
291,2745,PAYMENT_ISSUE,2026-02-07 17:26:00,RESOLVED
292,2758,DELAY,2026-02-08 00:10:00,OPEN
293,2763,PAYMENT_ISSUE,2026-02-07 21:15:00,OPEN
294,2814,DELAY,2026-02-08 22:20:00,OPEN
295,2826,DELAY,2026-02-08 10:29:00,RESOLVED
296,2840,MISSING_ITEM,2026-02-08 13:31:00,OPEN
297,2867,WRONG_ORDER,2026-02-08 23:10:00,OPEN
298,2870,MISSING_ITEM,2026-02-08 20:01:00,RESOLVED
299,2893,PAYMENT_ISSUE,2026-02-08 16:08:00,RESOLVED
300,2902,MISSING_ITEM,2026-02-08 19:54:00,OPEN
301,2908,MISSING_ITEM,2026-02-08 15:15:00,RESOLVED
302,2922,MISSING_ITEM,2026-02-08 20:53:00,OPEN
303,2930,DELAY,2026-02-08 12:30:00,RESOLVED
304,2936,DELAY,2026-02-08 23:11:00,OPEN
305,2939,PAYMENT_ISSUE,2026-02-08 12:11:00,OPEN
306,2941,MISSING_ITEM,2026-02-08 19:22:00,RESOLVED
307,2953,MISSING_ITEM,2026-02-09 00:28:00,RESOLVED
308,2954,PAYMENT_ISSUE,2026-02-09 00:33:00,RESOLVED
309,2975,MISSING_ITEM,2026-02-08 09:49:00,OPEN
310,2981,WRONG_ORDER,2026-02-08 21:36:00,OPEN
311,2990,MISSING_ITEM,2026-02-09 23:52:00,OPEN
312,3001,MISSING_ITEM,2026-02-09 18:40:00,RESOLVED
313,3004,DELAY,2026-02-09 23:34:00,RESOLVED
314,3009,PAYMENT_ISSUE,2026-02-09 15:39:00,RESOLVED
315,3035,MISSING_ITEM,2026-02-09 19:43:00,RESOLVED
316,3042,WRONG_ORDER,2026-02-10 00:00:00,RESOLVED
317,3066,WRONG_ORDER,2026-02-09 14:32:00,RESOLVED
318,3112,PAYMENT_ISSUE,2026-02-09 15:47:00,RESOLVED
319,3119,DELAY,2026-02-10 00:41:00,RESOLVED
320,3120,MISSING_ITEM,2026-02-09 23:26:00,RESOLVED
321,3126,PAYMENT_ISSUE,2026-02-09 11:30:00,RESOLVED
322,3139,PAYMENT_ISSUE,2026-02-10 11:06:00,OPEN
323,3145,MISSING_ITEM,2026-02-10 18:32:00,OPEN
324,3178,DELAY,2026-02-10 19:35:00,RESOLVED
325,3182,MISSING_ITEM,2026-02-10 23:55:00,OPEN
326,3183,PAYMENT_ISSUE,2026-02-10 14:32:00,OPEN
327,3196,MISSING_ITEM,2026-02-10 18:08:00,RESOLVED
328,3201,PAYMENT_ISSUE,2026-02-10 11:06:00,OPEN
329,3205,DELAY,2026-02-10 19:35:00,RESOLVED
330,3216,PAYMENT_ISSUE,2026-02-10 15:03:00,RESOLVED
331,3270,PAYMENT_ISSUE,2026-02-10 15:12:00,RESOLVED
332,3273,WRONG_ORDER,2026-02-10 14:00:00,OPEN
333,3284,PAYMENT_ISSUE,2026-02-11 15:47:00,RESOLVED
334,3293,PAYMENT_ISSUE,2026-02-11 20:03:00,RESOLVED
335,3312,MISSING_ITEM,2026-02-11 12:15:00,OPEN
336,3318,PAYMENT_ISSUE,2026-02-12 00:02:00,RESOLVED
337,3329,PAYMENT_ISSUE,2026-02-11 22:38:00,RESOLVED
338,3336,WRONG_ORDER,2026-02-11 18:04:00,RESOLVED
339,3346,WRONG_ORDER,2026-02-11 22:52:00,OPEN
340,3355,WRONG_ORDER,2026-02-11 19:37:00,RESOLVED
341,3376,DELAY,2026-02-11 10:27:00,RESOLVED
342,3382,WRONG_ORDER,2026-02-11 21:50:00,RESOLVED
343,3388,WRONG_ORDER,2026-02-11 23:36:00,OPEN
344,3407,WRONG_ORDER,2026-02-11 10:01:00,OPEN
345,3410,WRONG_ORDER,2026-02-11 13:23:00,OPEN
346,3412,PAYMENT_ISSUE,2026-02-11 12:26:00,OPEN
347,3413,WRONG_ORDER,2026-02-11 16:27:00,RESOLVED
348,3424,MISSING_ITEM,2026-02-11 21:08:00,OPEN
349,3437,DELAY,2026-02-11 13:24:00,RESOLVED
350,3442,MISSING_ITEM,2026-02-11 10:48:00,RESOLVED
351,3453,DELAY,2026-02-11 17:53:00,OPEN
352,3458,PAYMENT_ISSUE,2026-02-11 12:25:00,OPEN
353,3463,MISSING_ITEM,2026-02-12 14:10:00,OPEN
354,3475,MISSING_ITEM,2026-02-12 22:32:00,RESOLVED
355,3478,DELAY,2026-02-12 21:39:00,OPEN
356,3480,PAYMENT_ISSUE,2026-02-12 20:11:00,RESOLVED
357,3482,PAYMENT_ISSUE,2026-02-12 09:50:00,RESOLVED
358,3487,MISSING_ITEM,2026-02-12 12:49:00,RESOLVED
359,3512,PAYMENT_ISSUE,2026-02-12 09:22:00,OPEN
360,3524,PAYMENT_ISSUE,2026-02-12 15:19:00,RESOLVED
361,3533,MISSING_ITEM,2026-02-12 23:21:00,RESOLVED
362,3536,PAYMENT_ISSUE,2026-02-12 16:27:00,OPEN
363,3542,PAYMENT_ISSUE,2026-02-12 12:28:00,RESOLVED
364,3550,WRONG_ORDER,2026-02-12 11:56:00,RESOLVED
365,3553,DELAY,2026-02-12 18:07:00,RESOLVED
366,3602,WRONG_ORDER,2026-02-12 12:41:00,RESOLVED
367,3603,WRONG_ORDER,2026-02-12 23:37:00,RESOLVED
368,3609,MISSING_ITEM,2026-02-12 18:13:00,RESOLVED
369,3621,WRONG_ORDER,2026-02-12 17:51:00,OPEN
370,3632,DELAY,2026-02-12 22:48:00,OPEN
371,3637,PAYMENT_ISSUE,2026-02-12 14:13:00,RESOLVED
372,3642,DELAY,2026-02-12 21:12:00,OPEN
373,3678,MISSING_ITEM,2026-02-13 23:01:00,RESOLVED
374,3681,DELAY,2026-02-13 14:26:00,OPEN
375,3683,MISSING_ITEM,2026-02-13 22:23:00,RESOLVED
376,3695,WRONG_ORDER,2026-02-13 20:55:00,RESOLVED
377,3698,WRONG_ORDER,2026-02-13 11:18:00,OPEN
378,3700,PAYMENT_ISSUE,2026-02-13 16:40:00,RESOLVED
379,3707,PAYMENT_ISSUE,2026-02-13 09:59:00,RESOLVED
380,3708,WRONG_ORDER,2026-02-13 10:52:00,OPEN
381,3711,WRONG_ORDER,2026-02-13 21:44:00,OPEN
382,3721,WRONG_ORDER,2026-02-13 15:23:00,RESOLVED
383,3725,MISSING_ITEM,2026-02-13 15:17:00,OPEN
384,3783,WRONG_ORDER,2026-02-13 18:42:00,OPEN
385,3806,PAYMENT_ISSUE,2026-02-13 09:11:00,OPEN
386,3808,PAYMENT_ISSUE,2026-02-13 23:48:00,RESOLVED
387,3812,PAYMENT_ISSUE,2026-02-14 18:10:00,OPEN
388,3823,DELAY,2026-02-15 01:03:00,RESOLVED
389,3872,MISSING_ITEM,2026-02-14 19:15:00,RESOLVED
390,3876,DELAY,2026-02-14 14:03:00,RESOLVED
391,3883,DELAY,2026-02-14 16:53:00,RESOLVED
392,3889,MISSING_ITEM,2026-02-14 18:08:00,RESOLVED
393,3899,WRONG_ORDER,2026-02-14 23:04:00,OPEN
394,3904,MISSING_ITEM,2026-02-14 14:02:00,RESOLVED
395,3934,PAYMENT_ISSUE,2026-02-14 20:45:00,RESOLVED
396,3939,MISSING_ITEM,2026-02-14 17:08:00,RESOLVED
397,3943,WRONG_ORDER,2026-02-14 14:01:00,RESOLVED
398,3955,PAYMENT_ISSUE,2026-02-14 15:43:00,RESOLVED
399,3975,MISSING_ITEM,2026-02-14 12:47:00,OPEN
400,3983,WRONG_ORDER,2026-02-14 22:09:00,OPEN
401,3989,DELAY,2026-02-14 13:08:00,OPEN
402,4000,MISSING_ITEM,2026-02-16 00:09:00,RESOLVED
403,4005,DELAY,2026-02-15 17:46:00,OPEN
404,4007,WRONG_ORDER,2026-02-15 13:49:00,RESOLVED
405,4019,DELAY,2026-02-16 01:06:00,RESOLVED
406,4030,PAYMENT_ISSUE,2026-02-15 10:57:00,RESOLVED
407,4032,PAYMENT_ISSUE,2026-02-15 17:34:00,RESOLVED
408,4043,MISSING_ITEM,2026-02-15 23:30:00,RESOLVED
409,4062,DELAY,2026-02-15 18:35:00,OPEN
410,4073,PAYMENT_ISSUE,2026-02-15 13:07:00,OPEN
411,4079,PAYMENT_ISSUE,2026-02-15 21:28:00,OPEN
412,4091,MISSING_ITEM,2026-02-15 17:52:00,OPEN
413,4093,PAYMENT_ISSUE,2026-02-15 09:18:00,OPEN
414,4096,DELAY,2026-02-15 14:29:00,RESOLVED
415,4117,DELAY,2026-02-15 17:10:00,RESOLVED
