restaurant_id,city,cuisine_type,rating_band,onboarding_date
77,Ahmedabad,South Indian,LOW,2025-05-16
78,Surat,North Indian,LOW,2024-11-29
79,Surat,Cafe,LOW,2024-04-29
80,Pune,South Indian,MEDIUM,2025-11-22
81,Ahmedabad,South Indian,MEDIUM,2024-10-16
82,Pune,Pizza,LOW,2025-12-27
83,Gandhinagar,Cafe,MEDIUM,2025-01-22
84,Ahmedabad,Street Food,HIGH,2025-05-09
85,Surat,Street Food,HIGH,2023-12-16
86,Pune,South Indian,MEDIUM,2024-10-15
87,Rajkot,Biryani,HIGH,2025-07-18
88,Rajkot,Street Food,MEDIUM,2024-08-19
89,Rajkot,Biryani,MEDIUM,2025-12-29
90,Surat,South Indian,LOW,2024-09-29
91,Rajkot,Cafe,LOW,2024-09-23
92,Surat,North Indian,HIGH,2025-12-17
93,Ahmedabad,North Indian,HIGH,2025-06-30
94,Surat,Biryani,LOW,2025-06-18
95,Rajkot,Pizza,HIGH,2024-06-01
96,Surat,Biryani,MEDIUM,2024-07-08
97,Pune,Street Food,HIGH,2025-06-03
98,Pune,Chinese,MEDIUM,2025-04-10
99,Gandhinagar,Pizza,MEDIUM,2025-10-14
100,Rajkot,North Indian,MEDIUM,2024-01-18
101,Surat,North Indian,LOW,2024-05-30
102,Pune,Biryani,MEDIUM,2024-08-24
103,Gandhinagar,North Indian,LOW,2025-10-13
104,Gandhinagar,South Indian,MEDIUM,2025-02-12
105,Surat,Street Food,MEDIUM,2023-10-26
106,Surat,North Indian,HIGH,2024-06-09
107,Surat,Chinese,HIGH,2023-11-12
108,Pune,Chinese,LOW,2025-11-11
109,Surat,South Indian,MEDIUM,2025-11-08
110,Surat,South Indian,HIGH,2025-05-13
111,Pune,Street Food,HIGH,2025-03-11
112,Surat,Pizza,MEDIUM,2025-05-31
113,Rajkot,North Indian,HIGH,2023-10-13
114,Gandhinagar,North Indian,LOW,2024-12-19
115,Pune,Street Food,MEDIUM,2025-03-21
116,Ahmedabad,Biryani,HIGH,2025-09-13
117,Surat,North Indian,LOW,2024-12-15
118,Pune,Biryani,LOW,2025-12-10
119,Gandhinagar,Biryani,HIGH,2023-10-25
120,Ahmedabad,South Indian,LOW,2025-09-27
